tanggal,tweets,username,retweet,source,hashtags
2020-04-26 23:43:15,"#JKWMelanggarKonstitusi

mau tanya selama indonesia kena.covid19...
ga pernah liat megawati ya
ada yang tau ga
apa udah ...........",lie_4673,1,Twitter for Android,['JKWMelanggarKonstitusi']
2020-04-26 23:42:49,"Dan gue akan selalu inget, @fpdip_jakarta yang selalu mempolitisasi pandemi #COVID19 #harunmasiku #gagalkanomnibuslaw https://t.co/RVtfOkf3I0",noviantod,0,Twitter Web App,"['COVID19', 'harunmasiku', 'gagalkanomnibuslaw']"
2020-04-26 23:42:06,@PBIDI @rasmanbangun Turut berduka cita untuk tenaga medis dan paramedis yang meninggal akibat wabah Covid19. Apakah PB IDI membentuk tim investigasi untuk mengusut kejadian ini? Bukan untuk menyalahkan siapa siapa tapi supaya kita tahu apa yg perlu kita benahi,FahrieHaris,0,Twitter for Android,[]
2020-04-26 23:42:04,Sudah dua malam berturut-turut aku mimpi aneh soal seks. Dengar-dengar juga selama pandemi makin banyak orang yang memimpikan mimpi aneh waktu tidur. Ada yang ikut bermimpi aneh juga belakangan ini? https://t.co/StA8qkPLLM,jeremiakevin,0,Twitter for Android,[]
2020-04-26 23:41:58,Corona berhasil bikin w naik busway untuk brgkt ke kantor biasanya gojek 4lyfe,lilpinkyprncs,0,Twitter for iPhone,[]
2020-04-26 23:41:32,"@Kinanti_88 kalau ga ada kadrun, Corona Indonesia bisa lebih parah dari Amerika.",masilhamcom,0,Twitter Web App,[]
2020-04-26 23:40:05,"Covid-19, Pendapatan Penjual Takjil Seribu Masjid Menurun https://t.co/PMF2nYAI4x",GATRA_News,0,GATRA.com,[]
2020-04-26 23:39:01,VIDEO: Pasar Kaget Brisbane Saat Ramadan dan Pandemi Corona https://t.co/jhfnQ5Hr3g,liputan6dotcom,1,dlvr.it,[]
2020-04-26 23:38:00,@detikcom Untung g meninggal lalu di kubur secara protap pasien corona.,matsolary,0,Twitter for Android,[]
2020-04-26 23:37:48,Kesepakatan dengan Beijing Genone Institute (BGI) akan membuat Arab Saudi mendapatkan 9 juta alat pengujian covid-19.  https://t.co/OFlEcQQWb5,mediaindonesia,1,micom,[]
2020-04-26 23:36:45,"Ujan, puasa, covid-19 lengkap https://t.co/EBGFt4bJIz",yusuf_nitinegor,0,Twitter for iPhone,[]
2020-04-26 23:35:54,"@byu_id Tambahin lah yg 10GB jadi 25GB harga 60.000 yang 23GB jadi 35GB harga 100.000, (biar tetap diRumahAja ) nanti hari kemenangan tambahin lah yg 23GB jadi 50GB harga 100.000 sekali aja pas hari Kemenangan sebelum 7 hari menuju Lebaran.",yung_kusuma,0,Twitter for Android,[]
2020-04-26 23:35:14,"Tiga Nomor Perkara Menggugat Perppu Corona, Besok MK Gelar Sidang Secara Langsung https://t.co/6Ejd9tj8tJ",erinsnote,0,Twitter Web Client,[]
2020-04-26 23:35:06,Pasien Positif COVID-19 Pertama Batanghari Cluster Gowa https://t.co/HTfHkqxtCU,GATRA_News,0,GATRA.com,[]
2020-04-26 23:35:03,"Bagikan BLT saat Pandemi Corona, Ini Mekanisme Pendataan hingga Penyaluran https://t.co/cDfgOVwabi",liputan6dotcom,1,dlvr.it,[]
2020-04-26 23:34:49,"Mensos Juliari Kena Maki Menteri Goblok Terkait BLT Corona, Tantang Balik Bupati Boltim Via Skype  https://t.co/aevpGQS67O #VirusCorona #COVID19 #MensosJuliariBatubara",monitorindo,0,Twitter for Android,"['VirusCorona', 'COVID19', 'MensosJuliariBatubara']"
2020-04-26 23:33:36,"""Sekarang bukan masalah perintahnya, bukan masalah anjurannya, tapi dipatuhi apa enggak,"" kata Yuri. https://t.co/3ig57sAfD3",detikcom,31,Echobox Social,[]
2020-04-26 23:33:28,"Kepingin lagi kemalang, tapi nanti sama suamik.
Kepingin lagi ke bromo, tapi nanti kalau udah halal.
Tapi, pas lagi begini. Kalau kemalang, pasti mirinya yg enggak2. Covid, cepatlah berlalu 😭",fihdni,0,Twitter for Android,[]
2020-04-26 23:32:51,Demokrat: Penerapan PSBB Tak Signifikan Tekan Kasus Corona https://t.co/yatJ3Tg4PG https://t.co/CKShLp5zg6,Realitarakyat01,0,WordPress.com,[]
2020-04-26 23:32:31,"Pokoknya corona berakhir, aku mau pelukkk kamu terus gamau lepas lepas titik😭❤️ https://t.co/Enq1Vegu21",zikaaby,0,Twitter for iPhone,[]
2020-04-26 23:30:19,"Kapan corona tutup usia, bosen tau rebahan terus kayak enggak ada kerjaan lain :(",iamdavidrega95,0,Twitter for iPhone,[]
2020-04-26 23:30:09,"Menurut @IndefEconomics perspektif publik terkait kebijakan pemerintah dalam menangani pandemi virus corona cenderung negatif.

https://t.co/Gdrx2SdWJl",KATADATAcoid,4,Hootsuite Inc.,[]
2020-04-26 23:30:03,"Update Corona Indonesia, 26 April: 8.882 total kasus, 1.107 sembuh, 743 meninggal https://t.co/TdKdSJzuXk #VirusCorona",KontanNews,0,Kontan Tweet,['VirusCorona']
2020-04-26 23:29:16,"Mumpung #dirumahaja dan #ramadan mari kita perbanyak ilmu bersama para kyai dari berbagai penjuru Nusantara.
.
Hanya di NU Channel @ NU Channel https://t.co/v1tViR4on3",nuchannels,0,Instagram,"['dirumahaja', 'ramadan']"
2020-04-26 23:29:06,@fldzhazzahra Dipake kelar corona wqwq,saoskecapenak,0,Twitter for Android,[]
2020-04-26 23:28:37,"@danibahrii Kota belimbing, redzone corona, berbatasan langsunh jakarta, ah udh lah ajg😂😭",SetailKalelawar,0,Twitter for Android,[]
2020-04-26 23:28:22,"Luhut dan Ahok jadi parasit.

Faisal Basri: Campur Tangan Luhut Bikin Penanganan Corona di Indonesia Tidak Jelas https://t.co/JN47KMWYUK",reformasimental,0,Twitter for Android,[]
2020-04-26 23:27:52,Faisal Basri: Campur Tangan Luhut Bikin Penanganan Corona di Indonesia Tidak Jelas https://t.co/JN47KMWYUK,reformasimental,0,Twitter for Android,[]
2020-04-26 23:26:51,"Konspirasi-konspirasi Gila Tentang Virus Corona (2)

#TanpaRevolusiRIMusnah

https://t.co/HVner6Jq3h",Lucky_L4k1,1,Twitter for Android,['TanpaRevolusiRIMusnah']
2020-04-26 23:26:43,"Masih ada aja public figure yg bilang #COVID19 ga bahaya n bahkan cuma conspiracy, sekali2 main ke Wilma Atlit Kemayoran atau ke RS Persahabatan ga usah pake masker",hendrangerous,0,Twitter for Android,['COVID19']
2020-04-26 23:26:35,3 bulan Corona tak kelar. Muka auto ketutup https://t.co/TgntEMzJ3A,Azkaizzuddin,0,Twitter for Android,[]
2020-04-26 23:25:28,Sebanyak 24 dokter dan 16 perawat di Indonesia meninggal akibat Covid-19.. https://t.co/RtZZlAymSV,republikaonline,37,roltweet,[]
2020-04-26 23:25:01,Marko Simic Bicara soal Virus Corona Covid-19: Harus Serius Dilawan https://t.co/2CH5drlVzJ,liputan6dotcom,0,dlvr.it,[]
2020-04-26 23:24:32,"Ya... Bukan Ini Kali Saja Wabah Menyerang Kota Suci Makkah....
 https://t.co/UQKzYiJrus",MNCkoranSINDO,0,Twitter for Android,[]
2020-04-26 23:24:13,Belasan Polisi Di Peru Meninggal Karena Virus Corona https://t.co/YWPjEL0ACs,RMOLOfficial,0,Twitter for Android,[]
2020-04-26 23:24:02,"Gara-gara covid-19, 
Puasa tahun ini cuman 30 hari,
Biasanya kan sebulan.",amaycxz,0,Twitter for Android,[]
2020-04-26 23:23:45,Koq tidak disebutkan data jumlah orang meninggal karena virus Corona https://t.co/gscnSnhhCV,ibnupurna,0,Twitter for iPhone,[]
2020-04-26 23:23:10,@kompascom Wajar dr atas sampai bawah utk penanganan semua gagal faham gmn tdk! pulang kampung sama mudik aja beda apalagi ini soal corona begitu komplek bisa di fahami tapi saya yakin kl rs pulau galang yg terima pasien @Rockygerung_  pastinya dng akal sehatnya di terima!,gusalka,0,Twitter for Android,[]
2020-04-26 23:22:17,"Salam. Halo #sahabat perpusbalitbangdiklatkemenagri Semangadh pagiiiii...
Semoga hari kalian cerah ceria di Ramadhan ke-4 ini walaupun di tengah pandemi Covid-19 yang masih bergejolak. Yang terpenting kalian tetap… https://t.co/vly0DoeNoN",PerpusKemenagRI,0,Instagram,['sahabat']
2020-04-26 23:22:15,"Baru aja seneng, ujan, biar siang adem, eh air kamar mandi udh luber sampe dapur, padahal baru ujan sejam....udh corona, banjir pula",AstriPuspitaaa,0,Twitter for Android,[]
2020-04-26 23:22:04,"Bismillah, menjelang sebelum tidur sempetin pos bagian baru kisahnya Si-Hope, pahlawan asli Indonesia. Bukan kaleng2 Temans, yuk kepoin ceritanya hanya ada di @wattpad di lapaknya sy. Nama akunnya sm sprt akun twitter, IG dst. Smoga bermanfaat, pengisi wktu luang 🙏

#dirumahaja https://t.co/EniX0YtwHq",SitiBadriah_1,0,Twitter for Android,['dirumahaja']
2020-04-26 23:21:15,@imfluffyy @Mr_Kusramadhony @mamamintamantu Jadi matinya dimajuin 2019. Sebab kalo Tony mati th 2023 nanti dikira kena Covid-19.,ZAQTAHTA,0,Twitter for Android,[]
2020-04-26 23:21:02,Tips Membeli Takjil Aman Saat Pandemi Corona https://t.co/m51NOqxYPM,Dreamcoid,0,dlvr.it,[]
2020-04-26 23:21:01,Perdebatan Mudik Dan Pulang Kampung Menjadi Tak Penting Kalau Warga Merasa Sudah Kebal Corona https://t.co/q7r9NGDX6A,RMOLOfficial,0,Twitter for Android,[]
2020-04-26 23:20:15,"Jumlah orang yang meninggal dunia akibat covid-19 di Inggris bertambah 413 orang menjadi 20.723, terendah sepanjang April.  https://t.co/55IaWvGAUg",mediaindonesia,0,micom,[]
